response_set,response_id,parent_response_id,date_time,page,question,response,optional_text,user,branch,desk,library
3806868,8744449,,8/27/14 0:30,Patron Count,Patron Count,,0,voig1,Life Sciences,LSL Desk,Pennsylvania State University
3808407,8748961,,8/27/14 0:30,Patron Count,Patron Count for Access Services,NML Desk,4,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806866,8744447,,8/27/14 0:33,Patron Count,Patron Count for Access Services,NML Desk,1,nope1,Welcome Desks,West Welcome Desk,Pennsylvania State University
3806871,8744452,,8/27/14 0:34,Patron Count,Patron Count,,1,uria1,Education & Behavioral Sciences,EBSL Desk,Pennsylvania State University
3806867,8744448,,8/27/14 0:34,Patron Count,Patron Count,,0,bran1,Maps,Maps Desk,Pennsylvania State University
3806869,8744450,,8/27/14 0:39,Patron Count,Patron Count for Access Services,Sidewater Commons,6,lang2,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806870,8744451,,8/27/14 0:39,Patron Count,Patron Count for Access Services,Leisure Reading,1,lang2,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806881,8744462,,8/27/14 0:45,Patron Count,Patron Count by Location,KC Service Desk 1,6,hall3,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3853585,8880710,,8/27/14 0:58,Reference,Question Type,Reference 5 - 15 mins,,atwi1,Arts & Humanities,A&H Office,Pennsylvania State University
3853585,8880712,,8/27/14 0:58,Reference,Contact Type,Email,,atwi1,Arts & Humanities,A&H Office,Pennsylvania State University
3853585,8880711,,8/27/14 0:58,Reference,Notes:,,,atwi1,Arts & Humanities,A&H Office,Pennsylvania State University
3853585,8880713,,8/27/14 0:58,Reference,Service Location,Office,,atwi1,Arts & Humanities,A&H Office,Pennsylvania State University
3806882,8744463,,8/27/14 1:27,Patron Count,Patron Count by Location,KC Service Desk 1,3,hall3,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806873,8744454,,8/27/14 1:30,Patron Count,Patron Count,,0,voig1,Life Sciences,LSL Desk,Pennsylvania State University
3806877,8744458,,8/27/14 1:30,Patron Count,Patron Count,,1,uria1,Education & Behavioral Sciences,EBSL Desk,Pennsylvania State University
3806875,8744456,,8/27/14 1:30,Patron Count,Patron Count for Access Services,Leisure Reading,1,lang2,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806876,8744457,,8/27/14 1:30,Patron Count,Patron Count for Access Services,Sidewater Commons,4,lang2,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806872,8744453,,8/27/14 1:34,Patron Count,Patron Count for Access Services,NML Desk,3,nope1,Welcome Desks,West Welcome Desk,Pennsylvania State University
3806874,8744455,,8/27/14 1:40,Patron Count,Patron Count,,0,bran1,Maps,Maps Desk,Pennsylvania State University
3806883,8744464,,8/27/14 2:32,Patron Count,Patron Count by Location,KC Service Desk 1,3,hall3,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806878,8744459,,8/27/14 2:33,Patron Count,Patron Count for Access Services,Sidewater Commons,1,nope1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806879,8744460,,8/27/14 2:33,Patron Count,Patron Count for Access Services,Leisure Reading,0,nope1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806880,8744461,,8/27/14 2:38,Patron Count,Patron Count for Access Services,NML Desk,1,lang2,Welcome Desks,West Welcome Desk,Pennsylvania State University
3806884,8744465,,8/27/14 3:45,Patron Count,Patron Count by Location,KC Service Desk 1,3,hall3,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806885,8744466,,8/27/14 4:30,Patron Count,Patron Count for Access Services,Sidewater Commons,0,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806886,8744467,,8/27/14 4:30,Patron Count,Patron Count for Access Services,Leisure Reading,0,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806887,8744468,,8/27/14 4:35,Patron Count,Patron Count for Access Services,NML Desk,2,bran1,Welcome Desks,West Welcome Desk,Pennsylvania State University
3806888,8744469,,8/27/14 4:54,Patron Count,Patron Count by Location,KC Service Desk 1,4,hall3,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806889,8744470,,8/27/14 5:30,Patron Count,Patron Count for Access Services,Sidewater Commons,1,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806890,8744471,,8/27/14 5:30,Patron Count,Patron Count for Access Services,Leisure Reading,0,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806891,8744472,,8/27/14 5:30,Patron Count,Patron Count for Access Services,Franklin Atrium,0,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806892,8744473,,8/27/14 5:53,Patron Count,Patron Count for Access Services,NML Desk,1,bran1,Welcome Desks,West Welcome Desk,Pennsylvania State University
3806893,8744474,,8/27/14 6:30,Patron Count,Patron Count for Access Services,NML Desk,2,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806894,8744475,,8/27/14 6:34,Patron Count,Patron Count for Access Services,Leisure Reading,0,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806895,8744476,,8/27/14 6:34,Patron Count,Patron Count for Access Services,Sidewater Commons,2,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806896,8744477,,8/27/14 6:34,Patron Count,Patron Count for Access Services,Franklin Atrium,0,nope1,Access Services,AS Lending Desk,Pennsylvania State University
3806897,8744478,,8/27/14 6:36,Patron Count,Patron Count for Access Services,KC Service Desk 1,1,blak1,Access Services,AS Lending Desk,Pennsylvania State University
3806898,8744479,,8/27/14 7:10,Reference,Question Type,Policy & Service < 5 mins,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806898,8744481,,8/27/14 7:10,Reference,Contact Type,In-person,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806898,8744480,,8/27/14 7:10,Reference,Notes:,,Where can I borrow a carrel key,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806899,8744482,,8/27/14 7:11,Reference,Question Type,Policy & Service < 5 mins,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806899,8744484,,8/27/14 7:11,Reference,Contact Type,In-person,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806899,8744483,,8/27/14 7:11,Reference,Notes:,,When does upstairs open up,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806912,8744509,,8/27/14 7:23,Reference,Question Type,Policy & Service < 5 mins,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806912,8744511,,8/27/14 7:23,Reference,Contact Type,In-person,,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806912,8744510,,8/27/14 7:23,Reference,Notes:,,Where can I get course reserves,lang2,Access Services,AS Lending Desk,Pennsylvania State University
3806913,8744512,,8/27/14 7:26,Patron Count,Patron Count for Access Services,KC Service Desk 1,11,blak1,Access Services,AS Lending Desk,Pennsylvania State University
3806914,8744513,,8/27/14 7:30,Patron Count,Patron Count for Access Services,NML Desk,5,petr1,Access Services,AS Lending Desk,Pennsylvania State University
3806915,8744514,,8/27/14 7:33,Reference,Question Type,Reference 31 - 45 mins,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806915,8744516,,8/27/14 7:33,Reference,Contact Type,Other Contact Type,ill request,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806915,8744515,,8/27/14 7:33,Reference,Notes:,,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806915,8744517,,8/27/14 7:33,Reference,Service Location,Office,,lesk1,Access Services,AS ILL Office,Pennsylvania State University
3806916,8744518,,8/27/14 7:39,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806916,8744520,,8/27/14 7:39,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806916,8744519,,8/27/14 7:39,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806917,8744521,,8/27/14 7:43,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806917,8744523,,8/27/14 7:43,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806917,8744522,,8/27/14 7:43,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806918,8744524,,8/27/14 7:43,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806918,8744526,,8/27/14 7:43,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806918,8744525,,8/27/14 7:43,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806919,8744527,,8/27/14 7:43,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806919,8744529,,8/27/14 7:43,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806919,8744528,,8/27/14 7:43,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806920,8744530,,8/27/14 7:43,Reference,Question Type,Policy & Service < 5 mins,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806920,8744531,,8/27/14 7:43,Reference,Question Type,Reference < 5 mins,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806920,8744533,,8/27/14 7:43,Reference,Contact Type,In-person,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806920,8744532,,8/27/14 7:43,Reference,Notes:,,,zirk1,Knowledge Commons,KC Service Desk 1,Pennsylvania State University
3806921,8744534,,8/27/14 7:46,Reference,Question Type,Where is?,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806921,8744536,,8/27/14 7:46,Reference,Contact Type,In-person,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806921,8744535,,8/27/14 7:46,Reference,Notes:,,,robe1,Welcome Desks,East Welcome Desk,Pennsylvania State University
3806922,8744537,,8/27/14 7:50,Alarms,Gate Alarms,Other reason for alarm,patrons had nothing on them,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806922,8744538,,8/27/14 7:50,Alarms,Additional Information (Optional),,,casw1,Welcome Desks,Central Welcome Desk,Pennsylvania State University
3806923,8744539,,8/27/14 7:54,Reference,Question Type,Policy & Service < 5 mins,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806923,8744541,,8/27/14 7:54,Reference,Contact Type,In-person,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
3806923,8744540,,8/27/14 7:54,Reference,Notes:,,,conk2,Access Services,AS Lending Desk,Pennsylvania State University
